time,gFx,gFy,gFz,TgF
0.316998,0.7026,0.0650,0.7254,1.012
0.318682,0.7048,0.0664,0.7286,1.016
0.321227,0.7048,0.0655,0.7259,1.014
0.323575,0.7039,0.0650,0.7252,1.013
0.325578,0.7051,0.0616,0.7213,1.011
0.328554,0.7066,0.0652,0.7242,1.014
0.333950,0.7083,0.0647,0.7276,1.017
0.334999,0.7070,0.0618,0.7266,1.016
0.335688,0.7058,0.0616,0.7293,1.017
0.338820,0.7012,0.0608,0.7308,1.015
0.341010,0.7002,0.0606,0.7320,1.015
0.343565,0.7075,0.0586,0.7301,1.018
0.345857,0.7114,0.0569,0.7293,1.020
0.349315,0.7112,0.0555,0.7303,1.021
0.350759,0.7100,0.0545,0.7305,1.020
0.353243,0.7080,0.0562,0.7301,1.019
0.355599,0.7083,0.0562,0.7293,1.018
0.357899,0.7051,0.0550,0.7283,1.015
0.360691,0.7048,0.0562,0.7293,1.016
0.362878,0.7068,0.0564,0.7276,1.016
0.366291,0.7066,0.0569,0.7279,1.016
0.368727,0.7088,0.0559,0.7266,1.017
0.370926,0.7097,0.0576,0.7286,1.019
0.372507,0.7061,0.0596,0.7266,1.015
0.375485,0.7004,0.0569,0.7286,1.012
0.377651,0.7004,0.0596,0.7293,1.013
0.382812,0.7029,0.0616,0.7327,1.017
0.383705,0.7029,0.0623,0.7327,1.017
0.385172,0.6958,0.0623,0.7301,1.010
0.387249,0.6963,0.0660,0.7337,1.014
0.390237,0.6980,0.0655,0.7354,1.016
0.394504,0.6973,0.0633,0.7318,1.013
0.419994,0.6924,0.0625,0.7332,1.010
0.422830,0.6868,0.0640,0.7371,1.010
0.423431,0.6870,0.0660,0.7410,1.013
0.423914,0.6853,0.0652,0.7423,1.012
0.424451,0.6885,0.0664,0.7384,1.012
0.425049,0.6868,0.0660,0.7308,1.005
0.425540,0.6770,0.0608,0.7374,1.003
0.426007,0.6645,0.0618,0.7464,1.001
0.426476,0.6631,0.0655,0.7459,1.000
0.426937,0.6662,0.0672,0.7484,1.004
0.427404,0.6714,0.0691,0.7276,0.992
0.427900,0.6611,0.0652,0.7318,0.988
0.428403,0.6772,0.0694,0.7271,0.996
0.428891,0.6826,0.0640,0.7191,0.994
0.429725,0.6702,0.0608,0.7352,0.997
0.434452,0.6736,0.0623,0.7518,1.011
0.435447,0.6753,0.0620,0.7454,1.008
0.436924,0.6775,0.0581,0.7474,1.010
0.439558,0.7002,0.0645,0.7183,1.005
0.441269,0.7000,0.0550,0.7108,0.999
0.443794,0.7153,0.0591,0.7266,1.021
0.446072,0.7175,0.0584,0.7117,1.012
0.449720,0.7190,0.0533,0.7068,1.010
0.451210,0.7085,0.0430,0.7760,1.052
0.454210,0.7178,0.0523,0.7789,1.061
0.456045,0.7070,0.0620,0.7398,1.025
0.458669,0.6929,0.0594,0.8119,1.069
0.461218,0.6851,0.0657,0.8373,1.084
0.465959,0.6494,0.0726,0.8451,1.068
0.466916,0.5722,0.0589,0.7662,0.958
0.469284,0.4833,0.0266,1.0354,1.143
0.471152,0.4437,0.1160,0.8651,0.979
0.474136,0.3807,0.1417,0.3094,0.511
0.475856,0.6064,0.0958,0.3448,0.704
0.478388,0.7667,0.0484,0.7684,1.087
0.484849,0.8460,0.0557,0.6314,1.057
0.485949,0.8827,0.0503,0.5871,1.061
0.486501,0.8776,0.0296,0.7323,1.143
0.488433,0.8197,0.0318,0.7410,1.105
0.491542,0.7906,0.0513,0.7203,1.071
0.494489,0.7732,0.0557,0.7796,1.099
0.499522,0.7630,0.0608,0.7772,1.091
0.500883,0.7618,0.0611,0.7401,1.064
0.501721,0.7434,0.0523,0.7823,1.081
0.503087,0.7276,0.0535,0.7877,1.074
0.505694,0.7239,0.0581,0.7750,1.062
0.508590,0.7112,0.0525,0.7894,1.064
0.510663,0.7000,0.0557,0.7616,1.036
0.513540,0.7029,0.0591,0.7635,1.039
0.524823,0.7012,0.0572,0.7569,1.033
0.526051,0.6968,0.0520,0.7489,1.024
0.526561,0.6882,0.0533,0.7589,1.026
0.527325,0.6895,0.0564,0.7454,1.017
0.527874,0.6904,0.0586,0.7523,1.023
0.528490,0.6882,0.0574,0.7440,1.015
0.539110,0.6860,0.0572,0.7474,1.016
0.540344,0.6853,0.0579,0.7452,1.014
0.540906,0.6868,0.0576,0.7418,1.013
0.541387,0.6865,0.0591,0.7420,1.013
0.541840,0.6880,0.0591,0.7352,1.009
0.542767,0.6907,0.0596,0.7391,1.013
0.545225,0.6885,0.0606,0.7301,1.005
0.550641,0.6899,0.0601,0.7313,1.007
0.551755,0.6917,0.0603,0.7252,1.004
0.552366,0.6919,0.0613,0.7264,1.005
0.555016,0.6936,0.0623,0.7266,1.006
0.557709,0.6931,0.0635,0.7266,1.006
0.560847,0.6926,0.0647,0.7305,1.009
0.562404,0.6917,0.0620,0.7301,1.008
0.566211,0.6919,0.0623,0.7347,1.011
0.567660,0.6936,0.0640,0.7327,1.011
0.569466,0.6909,0.0638,0.7381,1.013
0.572175,0.6912,0.0642,0.7381,1.013
0.574511,0.6909,0.0647,0.7420,1.016
0.576752,0.6904,0.0640,0.7457,1.018
0.579256,0.6885,0.0635,0.7459,1.017
0.582829,0.6880,0.0635,0.7491,1.019
0.584384,0.6882,0.0623,0.7440,1.015
0.587183,0.6877,0.0640,0.7479,1.018
0.589460,0.6868,0.0630,0.7457,1.016
0.592101,0.6880,0.0630,0.7457,1.017
0.594556,0.6892,0.0623,0.7445,1.016
0.596910,0.6880,0.0625,0.7413,1.013
0.600474,0.6877,0.0652,0.7430,1.015
0.602059,0.6877,0.0630,0.7374,1.010
0.604582,0.6892,0.0645,0.7371,1.011
0.606505,0.6895,0.0645,0.7330,1.008
0.609308,0.6873,0.0657,0.7323,1.006
0.611784,0.6882,0.0657,0.7315,1.007
0.616858,0.6870,0.0667,0.7318,1.006
0.617866,0.6873,0.0667,0.7332,1.007
0.619141,0.6875,0.0642,0.7342,1.008
0.622156,0.6887,0.0642,0.7354,1.010
0.623772,0.6873,0.0684,0.7308,1.006
0.626318,0.6885,0.0652,0.7330,1.008
0.628862,0.6873,0.0652,0.7327,1.007
0.633540,0.6880,0.0635,0.7347,1.009
0.634962,0.6873,0.0640,0.7359,1.009
0.636305,0.6892,0.0635,0.7349,1.010
0.638695,0.6863,0.0633,0.7366,1.009
