time,wx (rad/s),wy (rad/s),wz (rad/s)
0.438321,0.00,-0.00,0.00
0.443444,0.00,0.00,0.00
0.444138,0.00,0.00,0.00
0.451420,0.00,0.00,0.00
0.451834,0.00,0.00,0.00
0.451995,0.00,0.00,0.00
0.452134,0.00,0.00,0.00
0.453153,-0.00,0.01,0.00
0.455534,0.01,0.00,0.00
0.466752,0.01,0.00,0.00
0.467562,0.00,0.01,0.00
0.467725,0.01,0.01,0.00
0.467906,-0.00,0.01,0.00
0.469417,0.00,0.01,0.00
0.470421,0.00,0.01,0.00
0.474213,-0.00,0.01,0.00
0.475990,-0.00,0.01,0.00
0.477623,0.00,0.01,0.00
0.480329,-0.00,0.01,0.00
0.484863,-0.00,0.01,0.00
0.485941,-0.00,0.02,-0.00
0.488154,-0.00,0.02,-0.00
0.491144,-0.00,0.02,-0.00
0.492968,-0.00,0.01,-0.00
0.496001,-0.01,0.01,-0.00
0.498182,-0.01,0.01,-0.00
0.500025,-0.01,0.01,-0.00
0.502018,-0.00,0.01,-0.00
0.504491,-0.00,0.02,-0.00
0.508341,-0.00,0.03,0.00
0.510467,-0.01,0.04,-0.00
0.512244,-0.00,0.05,-0.00
0.514688,-0.01,0.05,-0.00
0.517211,-0.01,0.05,-0.00
0.520663,-0.00,0.04,-0.00
0.524353,-0.00,0.03,0.00
0.524958,-0.00,0.02,0.00
0.527470,0.00,0.02,0.00
0.529507,0.00,0.02,0.00
0.533383,-0.00,0.01,0.00
0.535910,0.00,0.02,0.00
0.537605,-0.00,0.02,0.00
0.540974,-0.00,0.02,0.00
0.542120,-0.00,0.02,0.00
0.545731,-0.00,0.02,0.00
0.548154,-0.00,0.02,0.00
0.549328,-0.00,0.02,0.00
0.552302,-0.00,0.02,0.00
0.554210,-0.00,0.02,0.00
0.558458,-0.00,0.02,0.00
0.560209,-0.01,0.03,0.00
0.562123,-0.00,0.02,0.00
0.564440,-0.00,0.03,0.00
0.566505,-0.00,0.03,0.00
0.570529,-0.00,0.03,0.00
0.579856,-0.00,0.03,0.00
0.580731,-0.00,0.03,0.00
0.581179,0.00,0.03,0.00
0.581808,-0.00,0.03,0.00
0.583140,-0.00,0.03,0.00
0.584415,-0.00,0.03,0.00
0.586261,0.00,0.03,0.00
0.588785,0.00,0.03,0.00
0.599261,0.00,0.03,0.00
0.600391,-0.00,0.03,0.00
0.600785,0.00,0.03,-0.00
0.601097,0.00,0.03,-0.00
0.601406,0.00,0.03,-0.00
0.604719,0.00,0.03,-0.00
0.611343,0.00,0.02,-0.00
0.612061,-0.00,0.02,-0.00
0.612404,-0.00,0.02,-0.00
0.613278,0.00,0.02,-0.00
0.617279,0.00,0.02,-0.00
0.619933,0.00,0.01,-0.00
0.620780,0.00,0.01,-0.00
0.625103,0.00,0.01,0.00
0.625788,0.01,0.01,0.00
0.629617,0.00,0.01,0.00
0.632379,0.01,0.01,0.00
0.632968,0.01,0.01,0.00
0.635703,0.00,0.01,0.00
0.638661,0.00,0.01,0.00
0.642439,0.00,0.01,0.00
0.644131,0.01,0.01,0.00
0.645699,0.01,0.01,0.00
0.648870,0.00,0.01,0.00
0.650436,0.01,0.01,0.01
0.653982,0.00,0.01,0.01
0.658346,0.01,0.02,0.00
0.659271,0.01,0.02,0.00
0.660543,0.01,0.01,0.01
0.664156,0.01,0.01,0.00
0.667118,0.01,0.02,0.01
0.668301,0.01,0.01,0.01
0.670182,0.01,0.01,0.01
0.672955,0.01,0.01,0.01
0.676184,0.01,0.01,0.01
0.679232,0.01,0.01,0.00
0.680377,0.01,0.01,0.01
0.682954,0.01,0.02,0.01
0.685068,0.01,0.01,0.01
0.691077,0.01,0.01,0.01
0.692056,0.01,0.01,0.00
0.693761,0.01,0.02,0.01
0.694809,0.01,0.02,0.00
0.698307,0.01,0.02,0.00
0.701311,0.01,0.02,0.00
0.703761,0.01,0.02,0.00
0.704824,0.00,0.02,0.00
0.713840,0.01,0.02,0.01
0.714695,0.01,0.02,0.00
0.715081,0.00,0.02,0.00
0.716102,0.01,0.02,0.00
0.719592,0.01,0.02,0.00
0.720404,-0.00,0.02,0.00
0.740001,0.00,0.02,0.00
0.741361,0.00,0.01,0.00
0.741789,0.00,0.01,-0.00
0.742594,0.00,0.01,0.00
0.742942,0.00,0.01,-0.00
0.743277,0.00,0.01,-0.00
0.743627,0.00,0.01,-0.00
0.744044,0.00,0.01,-0.00
0.744388,0.00,0.01,-0.00
0.744724,-0.00,0.01,-0.00
0.746932,-0.00,0.01,-0.00
0.750484,-0.00,0.01,-0.00
0.752277,0.00,0.01,-0.00
0.753988,0.00,0.01,-0.00
0.758622,0.00,0.01,-0.00
0.761447,-0.00,0.00,-0.00
0.762671,0.01,0.00,-0.00
0.764481,0.00,0.00,0.00
0.766377,0.01,0.00,0.00
0.769224,0.00,0.00,0.00
0.775341,0.01,0.00,-0.00
0.776536,0.00,0.00,-0.00
0.777201,0.01,0.00,0.00
0.778739,0.00,0.00,-0.00
0.782483,-0.00,0.00,-0.00
0.785184,-0.00,0.00,0.00
0.787702,0.00,-0.00,0.00
0.791933,0.00,0.00,0.00
0.792711,-0.00,0.00,-0.00
0.793569,0.00,0.00,-0.00
0.798042,-0.00,0.00,0.00
0.799566,-0.00,0.00,-0.00
0.800798,-0.00,0.00,-0.00
0.803364,-0.00,0.01,-0.00
0.814311,-0.00,0.00,-0.00
0.815325,-0.00,0.00,-0.00
0.815761,-0.00,0.01,-0.00
0.816173,-0.00,0.01,-0.00
0.816697,-0.01,0.01,-0.00
0.818539,-0.01,0.01,-0.00
0.822117,-0.01,0.01,-0.00
0.840945,-0.01,0.01,-0.00
0.842050,-0.01,0.01,-0.00
0.842284,-0.01,0.01,-0.00
0.842474,-0.01,0.01,-0.00
0.842669,-0.01,0.01,-0.00
0.842846,-0.01,0.01,-0.00
0.843026,-0.01,0.01,-0.00
0.843209,-0.01,0.01,-0.00
0.843387,-0.01,0.01,-0.00
0.846816,-0.01,0.01,-0.00
0.848865,-0.01,0.01,-0.01
0.850164,-0.01,0.01,-0.00
0.853316,-0.01,0.01,-0.00
0.859207,-0.01,0.00,-0.00
0.860074,-0.01,0.00,-0.00
0.860835,-0.01,0.00,-0.01
0.863005,-0.01,0.00,-0.00
0.865130,-0.01,0.00,-0.00
0.869217,-0.01,-0.00,-0.00
0.871780,-0.01,-0.00,-0.00
0.875533,-0.01,-0.00,-0.00
0.876303,-0.01,-0.00,-0.00
0.878646,-0.01,-0.00,-0.00
0.881741,-0.00,-0.01,-0.00
0.883809,-0.01,-0.01,-0.00
0.884824,-0.01,-0.01,-0.00
