time,wx (rad/s),wy (rad/s),wz (rad/s)
0.426121,0.13,-0.17,0.37
0.426287,0.14,-0.15,0.36
0.428139,0.14,-0.14,0.35
0.433046,0.14,-0.13,0.33
0.433533,0.15,-0.12,0.32
0.450234,0.15,-0.10,0.31
0.450969,0.15,-0.09,0.30
0.451141,0.15,-0.07,0.29
0.451294,0.16,-0.06,0.27
0.451458,0.16,-0.05,0.26
0.451604,0.16,-0.05,0.24
0.451749,0.16,-0.05,0.24
0.451892,0.16,-0.03,0.23
0.455595,0.15,-0.02,0.21
0.459174,0.15,-0.01,0.19
0.461545,0.15,-0.01,0.18
0.461820,0.14,-0.01,0.16
0.464731,0.14,-0.01,0.15
0.467194,0.15,-0.01,0.14
0.471395,0.15,-0.01,0.13
0.473103,0.15,-0.02,0.13
0.473957,0.16,-0.02,0.12
0.477361,0.17,-0.03,0.12
0.480168,0.17,-0.03,0.12
0.483028,0.18,-0.04,0.12
0.485350,0.19,-0.04,0.13
0.486857,0.19,-0.04,0.13
0.489485,0.20,-0.04,0.14
0.493784,0.19,-0.04,0.15
0.495623,0.20,-0.04,0.15
0.497473,0.20,-0.03,0.16
0.499431,0.20,-0.02,0.16
0.502002,0.20,-0.02,0.16
0.505198,0.21,-0.01,0.16
0.508377,0.21,-0.02,0.16
0.509863,0.21,-0.02,0.16
0.512062,0.21,-0.01,0.17
0.514591,0.21,-0.01,0.17
0.516933,0.22,-0.01,0.16
0.523958,0.22,-0.01,0.15
0.524519,0.22,-0.01,0.14
0.524714,0.22,-0.02,0.14
0.527288,0.23,-0.02,0.13
0.529914,0.23,-0.02,0.12
0.532828,0.23,-0.02,0.11
0.533173,0.23,-0.03,0.10
0.547099,0.23,-0.02,0.08
0.547965,0.24,-0.02,0.06
0.548136,0.24,-0.01,0.04
0.548315,0.25,0.00,0.01
0.548515,0.26,0.02,-0.01
0.548688,0.26,0.04,-0.04
0.551757,0.27,0.06,-0.06
0.554942,0.27,0.08,-0.09
0.557288,0.27,0.09,-0.11
0.558387,0.27,0.11,-0.13
0.560597,0.26,0.12,-0.15
0.564405,0.26,0.14,-0.16
0.567342,0.27,0.14,-0.18
0.571567,0.26,0.16,-0.19
0.572049,0.26,0.17,-0.20
0.573925,0.26,0.18,-0.21
0.577687,0.26,0.18,-0.22
0.577923,0.26,0.19,-0.23
0.581942,0.26,0.19,-0.24
0.583763,0.26,0.19,-0.24
0.585620,0.27,0.19,-0.25
0.590270,0.27,0.18,-0.25
0.591777,0.28,0.16,-0.26
0.594542,0.28,0.15,-0.26
0.596177,0.28,0.13,-0.27
0.598892,0.29,0.12,-0.28
0.602398,0.30,0.11,-0.28
0.605058,0.31,0.10,-0.29
0.607249,0.32,0.09,-0.29
0.607454,0.32,0.09,-0.30
0.610689,0.33,0.09,-0.30
0.614975,0.34,0.10,-0.31
0.616798,0.35,0.10,-0.32
0.617010,0.35,0.11,-0.33
0.621981,0.37,0.13,-0.33
0.623269,0.38,0.14,-0.35
0.627759,0.38,0.16,-0.36
0.630731,0.39,0.18,-0.37
0.630952,0.41,0.20,-0.38
0.633537,0.42,0.22,-0.39
0.635515,0.43,0.25,-0.41
0.641740,0.43,0.26,-0.42
0.642088,0.44,0.29,-0.44
0.643751,0.44,0.31,-0.46
0.645840,0.45,0.33,-0.47
0.648310,0.46,0.35,-0.49
0.650898,0.47,0.38,-0.51
0.658176,0.48,0.40,-0.52
0.658603,0.49,0.42,-0.54
0.658811,0.50,0.44,-0.56
0.659563,0.50,0.45,-0.57
0.663063,0.51,0.45,-0.58
0.664264,0.52,0.45,-0.58
0.666263,0.52,0.46,-0.59
0.677988,0.53,0.46,-0.59
0.678698,0.53,0.45,-0.60
0.678882,0.53,0.45,-0.60
0.679025,0.52,0.45,-0.59
0.679383,0.52,0.45,-0.59
0.682078,0.52,0.44,-0.59
0.685524,0.53,0.45,-0.59
0.688853,0.53,0.45,-0.58
0.689191,0.54,0.46,-0.58
0.692131,0.55,0.47,-0.59
0.694668,0.57,0.48,-0.59
0.698147,0.59,0.49,-0.59
0.701220,0.62,0.49,-0.60
0.701416,0.64,0.50,-0.61
0.704823,0.65,0.52,-0.61
0.706889,0.67,0.54,-0.61
0.710525,0.67,0.56,-0.62
0.713837,0.68,0.57,-0.62
0.714043,0.69,0.59,-0.62
0.716669,0.69,0.61,-0.62
0.719383,0.69,0.63,-0.62
0.722428,0.69,0.65,-0.62
0.726002,0.70,0.69,-0.62
0.726255,0.70,0.73,-0.61
0.729889,0.71,0.77,-0.61
0.731578,0.71,0.81,-0.60
0.735262,0.72,0.85,-0.60
0.739441,0.72,0.89,-0.60
0.739919,0.73,0.94,-0.60
0.741833,0.74,0.98,-0.60
0.744011,0.75,1.02,-0.60
0.747811,0.76,1.05,-0.61
0.750325,0.78,1.08,-0.61
0.750570,0.78,1.12,-0.61
0.754703,0.79,1.14,-0.61
0.756925,0.79,1.15,-0.62
0.760253,0.80,1.16,-0.62
0.761974,0.80,1.17,-0.62
0.763637,0.81,1.16,-0.62
0.766343,0.81,1.17,-0.63
0.769421,0.82,1.17,-0.63
0.772094,0.81,1.17,-0.64
0.773573,0.82,1.17,-0.65
0.777290,0.82,1.16,-0.65
0.779724,0.83,1.15,-0.65
0.781455,0.83,1.16,-0.66
0.783833,0.84,1.15,-0.66
0.785427,0.84,1.14,-0.67
0.787895,0.84,1.13,-0.68
0.790367,0.84,1.13,-0.69
0.794291,0.84,1.13,-0.70
0.796356,0.84,1.13,-0.71
0.797645,0.84,1.14,-0.71
0.800314,0.84,1.15,-0.70
0.809224,0.83,1.17,-0.69
0.810118,0.82,1.18,-0.69
0.810419,0.81,1.21,-0.69
0.810700,0.80,1.23,-0.69
0.812749,0.80,1.25,-0.70
0.814500,0.80,1.27,-0.70
0.837299,0.78,1.30,-0.71
0.838491,0.77,1.32,-0.72
0.838761,0.76,1.34,-0.72
0.838959,0.76,1.36,-0.73
0.839143,0.74,1.38,-0.72
0.839335,0.74,1.40,-0.70
0.839529,0.73,1.42,-0.70
0.839716,0.73,1.43,-0.70
0.839891,0.72,1.44,-0.70
0.840076,0.72,1.45,-0.69
0.844321,0.72,1.45,-0.68
0.844927,0.71,1.46,-0.67
0.846457,0.71,1.46,-0.66
0.849331,0.71,1.46,-0.64
0.855300,0.71,1.46,-0.63
0.856052,0.70,1.45,-0.60
0.858781,0.69,1.44,-0.58
0.860073,0.69,1.42,-0.55
0.861492,0.69,1.40,-0.51
0.865523,0.68,1.37,-0.49
0.868287,0.67,1.36,-0.48
0.871980,0.67,1.33,-0.47
0.872801,0.66,1.31,-0.46
0.874320,0.65,1.27,-0.46
0.877703,0.65,1.24,-0.45
0.880642,0.63,1.21,-0.44
0.881517,0.63,1.18,-0.43
0.884410,0.62,1.16,-0.42
0.888202,0.61,1.14,-0.40
0.889450,0.61,1.13,-0.39
0.892189,0.60,1.13,-0.38
0.894712,0.61,1.14,-0.37
0.896296,0.60,1.15,-0.36
0.898537,0.59,1.16,-0.35
0.902687,0.58,1.19,-0.34
0.912382,0.57,1.21,-0.34
0.913326,0.55,1.24,-0.35
0.913692,0.54,1.27,-0.35
0.914073,0.52,1.30,-0.36
0.914632,0.51,1.34,-0.36
0.917016,0.49,1.37,-0.36
0.919099,0.47,1.38,-0.37
0.940036,0.45,1.38,-0.37
0.941583,0.43,1.36,-0.37
0.942659,0.41,1.33,-0.37
0.942939,0.39,1.30,-0.37
0.943238,0.37,1.26,-0.37
0.943518,0.34,1.22,-0.36
0.943801,0.32,1.19,-0.35
0.944071,0.29,1.16,-0.34
0.944353,0.27,1.12,-0.34
0.944631,0.25,1.09,-0.33
0.945482,0.24,1.06,-0.31
0.949865,0.22,1.04,-0.30
0.950477,0.20,1.01,-0.29
0.955741,0.19,0.98,-0.28
0.959261,0.18,0.96,-0.27
0.959710,0.16,0.93,-0.26
0.961885,0.15,0.91,-0.26
0.963808,0.14,0.89,-0.25
0.965762,0.13,0.87,-0.25
0.968311,0.12,0.85,-0.26
0.973578,0.11,0.83,-0.26
0.974088,0.10,0.80,-0.27
0.976089,0.10,0.78,-0.28
0.977473,0.10,0.74,-0.28
0.980054,0.10,0.71,-0.28
0.982795,0.10,0.67,-0.29
0.995495,0.11,0.62,-0.30
0.996418,0.13,0.56,-0.30
0.996791,0.15,0.50,-0.31
0.998575,0.17,0.44,-0.32
0.999333,0.20,0.37,-0.34
0.999717,0.23,0.31,-0.35
1.001162,0.26,0.24,-0.37
1.029577,0.30,0.16,-0.39
1.030985,0.34,0.09,-0.41
1.031386,0.38,0.02,-0.44
1.031745,0.42,-0.05,-0.47
1.032223,0.46,-0.13,-0.49
1.032590,0.50,-0.21,-0.51
1.032946,0.53,-0.29,-0.53
1.033320,0.57,-0.38,-0.54
1.033672,0.60,-0.48,-0.56
1.034012,0.63,-0.57,-0.56
1.034723,0.65,-0.67,-0.58
1.035482,0.68,-0.77,-0.59
1.036084,0.71,-0.85,-0.57
1.036496,0.76,-0.94,-0.54
1.040658,0.79,-1.03,-0.52
1.041480,0.83,-1.12,-0.49
1.041858,0.86,-1.22,-0.47
1.045655,0.89,-1.31,-0.46
1.047829,0.93,-1.41,-0.45
1.049418,0.96,-1.51,-0.44
1.051839,0.99,-1.62,-0.43
1.056009,1.02,-1.72,-0.42
1.058266,1.07,-1.83,-0.41
1.060098,1.11,-1.93,-0.40
