time,gFx,gFy,gFz,TgF
0.004561771,-0.0368,0.5751,0.8361,1.015
0.005006459,-0.0361,0.5748,0.8378,1.017
0.005308438,-0.0346,0.5748,0.8363,1.015
0.005516146,-0.0354,0.5741,0.8395,1.018
0.005719636,-0.0344,0.5709,0.8407,1.017
0.009204792,-0.0359,0.5687,0.8429,1.017
0.010101563,-0.0337,0.5670,0.8466,1.019
0.012426511,-0.0329,0.5680,0.8488,1.022
0.01474349,-0.0327,0.5655,0.8522,1.023
0.017373282,-0.0293,0.5668,0.8520,1.024
0.019325261,-0.0276,0.5638,0.8551,1.025
0.02282625,-0.0241,0.5626,0.8588,1.027
0.03324099,-0.0224,0.5621,0.8598,1.027
0.033834792,-0.0227,0.5629,0.8661,1.033
0.034030052,-0.0258,0.5609,0.8664,1.032
0.034161511,-0.0263,0.5609,0.8676,1.033
0.034294167,-0.0239,0.5609,0.8715,1.037
0.037134584,-0.0200,0.5604,0.8722,1.037
0.039945938,-0.0205,0.5582,0.8742,1.037
0.042229792,-0.0188,0.5570,0.8737,1.036
0.044995886,-0.0161,0.5570,0.8759,1.038
0.046866511,-0.0163,0.5536,0.8720,1.033
0.049383021,-0.0134,0.5511,0.8710,1.031
0.052390365,-0.0131,0.5487,0.8717,1.030
0.055169115,-0.0100,0.5504,0.8703,1.030
0.063489688,-0.0051,0.5465,0.8717,1.029
0.064088802,-0.0041,0.5448,0.8691,1.026
0.064453855,-0.0012,0.5467,0.8642,1.023
0.064691667,0.0001,0.5477,0.8625,1.022
0.073406094,0.0032,0.5470,0.8588,1.018
0.07390849,0.0086,0.5477,0.8568,1.017
0.074128438,0.0118,0.5462,0.8537,1.014
0.074335105,0.0115,0.5458,0.8522,1.012
0.084941875,0.0103,0.5453,0.8507,1.011
0.085608646,0.0110,0.5436,0.8495,1.009
0.085861927,0.0093,0.5428,0.8502,1.009
0.08608198,0.0062,0.5448,0.8495,1.009
0.086315261,0.0013,0.5448,0.8485,1.008
0.088078386,-0.0061,0.5465,0.8515,1.012
0.091809584,-0.0149,0.5497,0.8583,1.019
0.094133073,-0.0190,0.5460,0.8627,1.021
0.095986771,-0.0222,0.5438,0.8593,1.017
0.099218855,-0.0261,0.5440,0.8588,1.017
0.101132552,-0.0273,0.5431,0.8586,1.016
0.10374323,-0.0261,0.5436,0.8568,1.015
0.106017292,-0.0266,0.5482,0.8573,1.018
0.10802849,-0.0244,0.5494,0.8583,1.019
0.110633125,-0.0249,0.5516,0.8578,1.020
0.113460782,-0.0244,0.5531,0.8598,1.023
0.116199063,-0.0244,0.5506,0.8571,1.019
0.118443855,-0.0236,0.5528,0.8571,1.020
0.121600052,-0.0256,0.5538,0.8556,1.020
0.12372198,-0.0249,0.5519,0.8544,1.017
0.126412396,-0.0251,0.5472,0.8532,1.014
0.12830125,-0.0263,0.5519,0.8527,1.016
0.130737605,-0.0254,0.5509,0.8537,1.016
0.133733698,-0.0241,0.5516,0.8534,1.016
0.135829011,-0.0229,0.5528,0.8554,1.019
0.138279011,-0.0202,0.5548,0.8542,1.019
0.140726302,-0.0170,0.5548,0.8539,1.018
0.144584167,-0.0170,0.5553,0.8520,1.017
0.145491094,-0.0146,0.5541,0.8522,1.017
0.14772573,-0.0119,0.5550,0.8490,1.014
0.150612448,-0.0114,0.5523,0.8461,1.010
0.153138802,-0.0131,0.5553,0.8478,1.014
0.15557375,-0.0117,0.5555,0.8468,1.013
0.16238875,-0.0131,0.5555,0.8432,1.010
0.162837709,-0.0139,0.5538,0.8434,1.009
0.163078802,-0.0134,0.5521,0.8432,1.008
0.165080417,-0.0158,0.5528,0.8432,1.008
0.16740875,-0.0158,0.5523,0.8419,1.007
0.170191667,-0.0163,0.5506,0.8405,1.005
0.172558073,-0.0158,0.5514,0.8419,1.007
0.182307552,-0.0158,0.5536,0.8417,1.008
0.18288349,-0.0146,0.5536,0.8419,1.008
0.183036823,-0.0153,0.5523,0.8419,1.007
0.183198021,-0.0158,0.5528,0.8419,1.007
0.184476407,-0.0158,0.5528,0.8407,1.006
0.187380209,-0.0161,0.5533,0.8422,1.008
0.189958125,-0.0163,0.5506,0.8429,1.007
0.192382032,-0.0175,0.5521,0.8405,1.006
0.19428,-0.0200,0.5531,0.8402,1.006
0.196688646,-0.0229,0.5536,0.8388,1.005
0.199193646,-0.0234,0.5516,0.8358,1.002
0.202315157,-0.0256,0.5516,0.8344,1.001
0.20482698,-0.0241,0.5506,0.8339,1.000
0.206923073,-0.0234,0.5521,0.8327,0.999
0.209539219,-0.0227,0.5531,0.8319,0.999
0.21179875,-0.0241,0.5511,0.8322,0.998
0.214027344,-0.0236,0.5516,0.8322,0.999
0.216661042,-0.0222,0.5523,0.8327,0.999
0.220030677,-0.0224,0.5531,0.8300,0.998
0.222473125,-0.0236,0.5523,0.8283,0.996
0.22573948,-0.0205,0.5504,0.8283,0.995
0.226213177,-0.0200,0.5523,0.8278,0.995
0.229507344,-0.0214,0.5509,0.8263,0.993
0.231456719,-0.0200,0.5523,0.8270,0.995
0.234618594,-0.0188,0.5543,0.8268,0.996
0.236814219,-0.0202,0.5521,0.8258,0.994
0.239521563,-0.0183,0.5548,0.8258,0.995
0.242980834,-0.0202,0.5545,0.8234,0.993
0.244774271,-0.0244,0.5545,0.8229,0.993
0.24634849,-0.0256,0.5536,0.8273,0.996
0.249117084,-0.0256,0.5526,0.8268,0.995
0.251526511,-0.0285,0.5538,0.8292,0.998
0.253951771,-0.0290,0.5531,0.8302,0.998
0.256698386,-0.0280,0.5519,0.8324,0.999
0.26194625,-0.0261,0.5531,0.8368,1.003
0.262328646,-0.0244,0.5521,0.8397,1.005
0.263617709,-0.0256,0.5528,0.8415,1.007
0.266247032,-0.0214,0.5526,0.8463,1.011
0.271465521,-0.0227,0.5533,0.8449,1.010
0.272014896,-0.0236,0.5541,0.8498,1.015
0.273067136,-0.0219,0.5545,0.8512,1.016
0.280970261,-0.0212,0.5526,0.8554,1.019
0.281436563,-0.0195,0.5541,0.8568,1.021
0.28157849,-0.0185,0.5528,0.8586,1.021
0.283546823,-0.0180,0.5509,0.8627,1.024
0.286150365,-0.0139,0.5521,0.8642,1.026
0.288866563,-0.0119,0.5531,0.8686,1.030
0.290408802,-0.0100,0.5516,0.8691,1.029
0.293243229,-0.0083,0.5492,0.8717,1.030
0.295282396,-0.0048,0.5487,0.8752,1.033
0.297916511,-0.0002,0.5494,0.8764,1.034
0.3008375,0.0022,0.5489,0.8810,1.038
0.303556459,0.0022,0.5506,0.8810,1.039
0.305908542,0.0059,0.5531,0.8820,1.041
0.309800573,0.0069,0.5509,0.8842,1.042
0.310561042,0.0088,0.5511,0.8864,1.044
0.313318125,0.0049,0.5499,0.8859,1.043
0.315645834,0.0071,0.5499,0.8825,1.040
0.318682344,0.0064,0.5489,0.8822,1.039
0.320648438,0.0064,0.5484,0.8788,1.036
0.323282709,0.0042,0.5487,0.8754,1.033
0.327026407,0.0027,0.5472,0.8713,1.029
0.327379219,0.0013,0.5497,0.8705,1.030
0.330475782,0.0001,0.5506,0.8622,1.023
0.333301719,-0.0002,0.5514,0.8576,1.020
0.335635834,-0.0019,0.5543,0.8539,1.018
0.337863594,-0.0039,0.5545,0.8505,1.015
0.34072349,-0.0048,0.5560,0.8461,1.012
0.347257604,-0.0051,0.5555,0.8422,1.009
0.347752188,-0.0085,0.5531,0.8375,1.004
0.348009011,-0.0080,0.5538,0.8368,1.004
0.350094375,-0.0085,0.5558,0.8366,1.004
0.35200849,-0.0080,0.5565,0.8353,1.004
0.356471979,-0.0083,0.5580,0.8336,1.003
0.374087604,-0.0097,0.5567,0.8336,1.003
0.374568073,-0.0075,0.5592,0.8327,1.003
0.374696198,-0.0078,0.5582,0.8324,1.002
0.37481849,-0.0112,0.5599,0.8331,1.004
0.374948386,-0.0102,0.5582,0.8327,1.003
0.375059792,-0.0129,0.5587,0.8346,1.004
0.375182344,-0.0112,0.5597,0.8336,1.004
0.375295834,-0.0112,0.5589,0.8375,1.007
0.382212709,-0.0102,0.5538,0.8405,1.007
0.382901927,-0.0061,0.5538,0.8417,1.008
0.383135313,-0.0041,0.5531,0.8463,1.011
0.384510052,-0.0039,0.5536,0.8480,1.013
0.387295521,-0.0007,0.5543,0.8502,1.015
0.389868854,0.0010,0.5550,0.8544,1.019
0.400194219,0.0003,0.5555,0.8564,1.021
0.400802084,0.0020,0.5541,0.8578,1.021
0.401328438,0.0013,0.5541,0.8576,1.021
0.401572084,-0.0004,0.5545,0.8581,1.022
0.401855157,-0.0031,0.5541,0.8605,1.023
0.405058542,-0.0051,0.5514,0.8595,1.021
0.406785417,-0.0068,0.5509,0.8593,1.021
0.41689099,-0.0085,0.5511,0.8588,1.020
0.417487136,-0.0114,0.5499,0.8617,1.022
0.417738698,-0.0124,0.5489,0.8622,1.022
0.417949636,-0.0136,0.5482,0.8637,1.023
0.418611511,-0.0151,0.5480,0.8666,1.025
0.422847552,-0.0166,0.5504,0.8673,1.027
0.433508542,-0.0161,0.5494,0.8686,1.028
0.434131407,-0.0163,0.5509,0.8720,1.032
0.434379323,-0.0156,0.5509,0.8732,1.033
0.434605469,-0.0153,0.5511,0.8727,1.032
0.4348175,-0.0127,0.5538,0.8764,1.037
0.436666667,-0.0141,0.5509,0.8735,1.033
0.439012292,-0.0168,0.5521,0.8735,1.033
0.448857292,-0.0207,0.5516,0.8730,1.033
0.449413907,-0.0190,0.5516,0.8720,1.032
0.449663177,-0.0202,0.5506,0.8700,1.030
0.449879896,-0.0229,0.5506,0.8705,1.030
0.450707552,-0.0222,0.5531,0.8695,1.031
0.454232188,-0.0224,0.5545,0.8695,1.032
0.456184375,-0.0239,0.5560,0.8695,1.032
0.486741875,-0.0258,0.5567,0.8676,1.031
0.487656198,-0.0263,0.5567,0.8654,1.029
0.48790599,-0.0271,0.5582,0.8627,1.028
0.488196615,-0.0249,0.5580,0.8610,1.026
0.488479427,-0.0239,0.5560,0.8593,1.024
0.488716459,-0.0219,0.5587,0.8546,1.021
0.488936771,-0.0175,0.5580,0.8520,1.019
0.4891725,-0.0170,0.5594,0.8495,1.017
0.489369792,-0.0161,0.5580,0.8463,1.014
0.489581563,-0.0129,0.5589,0.8446,1.013
0.489796354,-0.0134,0.5599,0.8432,1.012
0.490010209,-0.0112,0.5585,0.8410,1.010
0.49023599,-0.0092,0.5575,0.8380,1.007
0.490450677,-0.0073,0.5572,0.8380,1.006
0.493541875,-0.0053,0.5553,0.8371,1.005
0.4951325,-0.0053,0.5565,0.8371,1.005
0.497163229,-0.0043,0.5536,0.8349,1.002
0.500269688,-0.0056,0.5541,0.8358,1.003
0.5027225,-0.0048,0.5572,0.8397,1.008
